doi	Institution	Journal Title	Journal Discipline	Journal ISSN	Journal eISSN	Year
10.1007/s10761-017-0433-2	Lund University	International Journal of Historical Archaeology	Social Sciences	1092-7697	1573-7748	2017
10.1007/s11661-017-4208-5	Royal Institute of Technology	Metallurgical and Materials Transactions A	Materials Science	1073-5623	1543-1940	2017
10.1007/s11947-017-1959-3	Lund University	Food and Bioprocess Technology	Chemistry	1935-5130	1935-5149	2017
10.1007/s12220-017-9888-y	Chalmers University of Technology	The Journal of Geometric Analysis	Mathematics	1050-6926	1559-002X	2017
10.1208/s12248-017-0108-2	Uppsala University	The AAPS Journal	Biomedicine		1550-7416	2017
10.1007/s12083-017-0578-0	Linköping University	Peer-to-Peer Networking and Applications	Engineering	1936-6442	1936-6450	2017
10.1007/s10533-017-0361-6	Stockholm University	Biogeochemistry	Earth Sciences	0168-2563	1573-515X	2017
10.1007/s10750-017-3298-9	Umea University	Hydrobiologia	Life Sciences	0018-8158	1573-5117	2017
10.1007/s10543-017-0671-z	Royal Institute of Technology	BIT Numerical Mathematics	Mathematics	0006-3835	1572-9125	2017
10.1007/s12053-017-9541-4	Karlstad University	Energy Efficiency	Engineering	1570-646X	1570-6478	2017
10.1007/s12053-017-9537-0	Uppsala University	Energy Efficiency	Engineering	1570-646X	1570-6478	2017
10.1007/s00265-017-2337-x	Uppsala University	Behavioral Ecology and Sociobiology	Life Sciences	0340-5443	1432-0762	2017
10.1007/s00467-017-3705-5	University of Gothenburg	Pediatric Nephrology	Medicine & Public Health	0931-041X	1432-198X	2017
10.1007/s12116-017-9251-0	University of Gothenburg	Studies in Comparative International Development	Social Sciences	0039-3606	1936-6167	2017
10.1007/s10732-017-9351-z	University West	Journal of Heuristics	Mathematics	1381-1231	1572-9397	2017
10.1007/s11121-017-0821-1	Uppsala University	Prevention Science	Medicine & Public Health	1389-4986	1573-6695	2017
10.1007/s11661-017-4210-y	Lund University	Metallurgical and Materials Transactions A	Materials Science	1073-5623	1543-1940	2017
10.1007/s12031-017-0944-7	Lund University	Journal of Molecular Neuroscience	Biomedicine	0895-8696	1559-1166	2017
10.1007/s12147-017-9194-9	Umea University	Gender Issues	Social Sciences	1098-092X	1936-4717	2017
10.1007/s11244-017-0816-y	Linnaeus University	Topics in Catalysis	Chemistry	1022-5528	1572-9028	2017
10.3758/s13415-017-0519-7	Karolinska Institute	"Cognitive, Affective, & Behavioral Neuroscience"	Psychology	1530-7026	1531-135X	2017
10.1007/s12186-017-9184-9	Umea University	Vocations and Learning	Education	1874-785X	1874-7868	2017
10.1007/s10677-017-9824-z	Stockholm University	Ethical Theory and Moral Practice	Philosophy	1386-2820	1572-8447	2017
10.1007/s13402-017-0331-y	Örebro University	Cellular Oncology	Biomedicine	2211-3428	2211-3436	2017
10.1007/s11245-017-9491-7	Stockholm University	Topoi	Philosophy	0167-7411	1572-8749	2017
10.1007/s13164-017-0350-7	Stockholm University	Review of Philosophy and Psychology	Philosophy	1878-5158	1878-5166	2017
10.1007/s00277-017-3061-3	Karolinska Institute	Annals of Hematology	Medicine & Public Health	0939-5555	1432-0584	2017
10.1007/s10071-017-1121-7	Lund University	Animal Cognition	Life Sciences	1435-9448	1435-9456	2017
10.1007/s00249-017-1231-9	Stockholm University	European Biophysics Journal	Life Sciences	0175-7571	1432-1017	2017
10.1007/s13593-017-0442-x	Swedish University of Agricultural Sciences	Agronomy for Sustainable Development	Life Sciences	1774-0746	1773-0155	2017
10.1007/s10562-017-2133-2	Chalmers University of Technology	Catalysis Letters	Chemistry	1011-372X	1572-879X	2017
10.1007/s10914-017-9405-x	Swedish Museum of Natural History	Journal of Mammalian Evolution	Life Sciences	1064-7554	1573-7055	2017
10.1007/s11669-017-0570-7	Royal Institute of Technology	Journal of Phase Equilibria and Diffusion	Physics	1547-7037	1863-7345	2017
10.1007/s10886-017-0860-x	Swedish University of Agricultural Sciences	Journal of Chemical Ecology	Life Sciences	0098-0331	1573-1561	2017
10.1007/s11661-017-4196-5	Royal Institute of Technology	Metallurgical and Materials Transactions A	Materials Science	1073-5623	1543-1940	2017
10.1007/s00246-017-1655-0	Linköping University	Pediatric Cardiology	Medicine & Public Health	0172-0643	1432-1971	2017
10.1007/s00262-017-2040-9	University of Gothenburg	"Cancer Immunology, Immunotherapy"	Medicine & Public Health	0340-7004	1432-0851	2017
10.1007/s00442-017-3921-5	Umea University	Oecologia	Life Sciences	0029-8549	1432-1939	2017
10.1007/s00231-017-2099-z	Lund University	Heat and Mass Transfer	Engineering	0947-7411	1432-1181	2017
10.1007/s00520-017-3793-6	Karolinska Institute	Supportive Care in Cancer	Medicine & Public Health	0941-4355	1433-7339	2017
10.1007/s12553-017-0201-7	Lulea University of Technology	Health and Technology	Engineering	2190-7188	2190-7196	2017
10.1007/s00442-017-3895-3	Swedish University of Agricultural Sciences	Oecologia	Life Sciences	0029-8549	1432-1939	2017
10.1007/s11666-017-0595-9	University West	Journal of Thermal Spray Technology	Materials Science	1059-9630	1544-1016	2017
10.1007/s10639-017-9631-0	University of Gothenburg	Education and Information Technologies	Computer Science	1360-2357	1573-7608	2017
10.1007/s11695-017-2798-z	Örebro University	Obesity Surgery	Medicine & Public Health	0960-8923	1708-0428	2017
10.1007/s12013-017-0814-5	Linköping University	Cell Biochemistry and Biophysics	Life Sciences	1085-9195	1559-0283	2017
10.1007/s00347-017-0543-6	Lund University	Der Ophthalmologe	Medicine & Public Health	0941-293X	1433-0423	2017
10.1007/s12136-017-0328-1	Stockholm University	Acta Analytica	Philosophy	0353-5150	1874-6349	2017
10.1007/s12053-017-9549-9	Lund University	Energy Efficiency	Engineering	1570-646X	1570-6478	2017
10.1007/s11165-017-9627-1	Linnaeus University	Research in Science Education	Education	0157-244X	1573-1898	2017
10.1007/s00340-017-6781-0	Umea University	Applied Physics B	Physics	0946-2171	1432-0649	2017
10.1007/s00216-017-0509-1	Stockholm University	Analytical and Bioanalytical Chemistry	Chemistry	1618-2642	1618-2650	2017
10.1007/s10368-017-0390-6	Kristianstad University	International Economics and Economic Policy	Economics	1612-4804	1612-4812	2017
10.1007/s00211-017-0905-7	Chalmers University of Technology	Numerische Mathematik	Mathematics	0029-599X	0945-3245	2017
10.1007/s10344-017-1120-7	Stockholm University	European Journal of Wildlife Research	Life Sciences	1612-4642	1439-0574	2017
10.1007/s00590-017-2013-x	Umea University	European Journal of Orthopaedic Surgery & Traumatology	Medicine & Public Health	1633-8065	1432-1068	2017
10.1007/s00701-017-3266-1	Karolinska Institute	Acta Neurochirurgica	Medicine & Public Health	0001-6268	0942-0940	2017
10.1007/s00501-017-0658-8	Lulea University of Technology	BHM Berg- und Hüttenmännische Monatshefte	Earth Sciences	0005-8912	1613-7531	2017
10.1007/s40675-017-0080-5	Umea University	Current Sleep Medicine Reports	Medicine & Public Health		2198-6401	2017
10.1007/s40263-017-0445-9	Karolinska Institute	CNS Drugs	Medicine & Public Health	1172-7047	1179-1934	2017
10.1007/s10654-017-0283-6	Karolinska Institute	European Journal of Epidemiology	Medicine & Public Health	0393-2990	1573-7284	2017
10.1007/s10734-017-0172-7	Stockholm University	Higher Education	Education	0018-1560	1573-174X	2017
10.1007/s11165-017-9628-0	Kristianstad University	Research in Science Education	Education	0157-244X	1573-1898	2017
10.1007/s10584-017-2020-2	Lund University	Climatic Change	Earth Sciences	0165-0009	1573-1480	2017
10.1007/s10570-017-1407-6	Lund University	Cellulose	Chemistry	0969-0239	1572-882X	2017
10.1007/s10611-017-9695-1	University of Gothenburg	"Crime, Law and Social Change"	Criminology and Criminal Justice	0925-4994	1573-0751	2017
10.1007/s00484-017-1402-5	Lund University	International Journal of Biometeorology	Environment	0020-7128	1432-1254	2017
10.1007/s00340-017-6784-x	Lund University	Applied Physics B	Physics	0946-2171	1432-0649	2017
10.1007/s00203-017-1412-z	Swedish University of Agricultural Sciences	Archives of Microbiology	Life Sciences	0302-8933	1432-072X	2017
10.1007/s11367-017-1362-3	Chalmers University of Technology	The International Journal of Life Cycle Assessment	Environment	0948-3349	1614-7502	2017
10.1007/s12549-017-0286-z	Swedish Museum of Natural History	Palaeobiodiversity and Palaeoenvironments	Earth Sciences	1867-1594	1867-1608	2017
10.1007/s10021-017-0170-8	Stockholm University	Ecosystems	Life Sciences	1432-9840	1435-0629	2017
10.1007/s11910-017-0780-8	Lund University	Current Neurology and Neuroscience Reports	Medicine & Public Health	1528-4042	1534-6293	2017
10.1007/s11365-017-0458-3	Lulea University of Technology	International Entrepreneurship and Management Journal	Business and Management	1554-7191	1555-1938	2017
10.1007/s11075-017-0352-7	Chalmers University of Technology	Numerical Algorithms	Computer Science	1017-1398	1572-9265	2017
10.1007/s00710-017-0523-1	Swedish Museum of Natural History	Mineralogy and Petrology	Earth Sciences	0930-0708	1438-1168	2017
10.1007/s11625-017-0457-x	Stockholm University	Sustainability Science	Environment	1862-4065	1862-4057	2017
10.1007/s10910-017-0769-1	Karolinska Institute	Journal of Mathematical Chemistry	Chemistry	0259-9791	1572-8897	2017
10.1007/s13280-017-0932-8	Stockholm University	Ambio	Environment	0044-7447	1654-7209	2017
10.1007/s10677-017-9821-2	Uppsala University	Ethical Theory and Moral Practice	Philosophy	1386-2820	1572-8447	2017
10.1007/s11019-017-9786-x	Södertörn University	"Medicine, Health Care and Philosophy"	Philosophy	1386-7423	1572-8633	2017
10.1007/s00226-017-0938-1	Chalmers University of Technology	Wood Science and Technology	Life Sciences	0043-7719	1432-5225	2017
10.1007/s00300-017-2173-5	Umea University	Polar Biology	Life Sciences	0722-4060	1432-2056	2017
10.1007/s00226-017-0941-6	Royal Institute of Technology	Wood Science and Technology	Life Sciences	0043-7719	1432-5225	2017
10.1007/s00775-017-1480-1	Lund University	JBIC Journal of Biological Inorganic Chemistry	Life Sciences	0949-8257	1432-1327	2017
10.1007/s10040-017-1627-8	Royal Institute of Technology	Hydrogeology Journal	Earth Sciences	1431-2174	1435-0157	2017
10.1007/s00198-017-4150-9	Karolinska Institute	Osteoporosis International	Medicine & Public Health	0937-941X	1433-2965	2017
10.1007/s10578-017-0746-8	University of Gothenburg	Child Psychiatry & Human Development	Psychology	0009-398X	1573-3327	2017
10.1007/s10899-017-9704-4	Karolinska Institute	Journal of Gambling Studies	Medicine & Public Health		1573-3602	2017
10.1208/s12249-017-0836-8	Lulea University of Technology	AAPS PharmSciTech	Biomedicine		1530-9932	2017
10.1007/s00709-017-1145-5	Umea University	Protoplasma	Life Sciences	0033-183X	1615-6102	2017
10.1007/s00035-017-0191-0	Swedish Museum of Natural History	Alpine Botany	Life Sciences	1664-2201	1664-221X	2017
10.1007/s11270-017-3438-x	Lulea University of Technology	"Water, Air, & Soil Pollution"	Environment	0049-6979	1573-2932	2017
10.1007/s11104-017-3324-8	Lund University	Plant and Soil	Life Sciences	0032-079X	1573-5036	2017
10.1007/s13164-017-0357-0	Stockholm University	Review of Philosophy and Psychology	Philosophy	1878-5158	1878-5166	2017
10.1007/s00467-017-3781-6	Karolinska Institute	Pediatric Nephrology	Medicine & Public Health	0931-041X	1432-198X	2017
10.1007/s00394-017-1526-8	Karolinska Institute	European Journal of Nutrition	Chemistry	1436-6207	1436-6215	2017
10.1007/s00221-017-5058-5	University of Gothenburg	Experimental Brain Research	Biomedicine	0014-4819	1432-1106	2017
10.1007/s00466-017-1460-x	Chalmers University of Technology	Computational Mechanics	Engineering	0178-7675	1432-0924	2017
10.1007/s13366-017-0348-4	Uppsala University	Beiträge zur Algebra und Geometrie / Contributions to Algebra and Geometry	Mathematics	0138-4821	2191-0383	2017
10.1007/s00436-017-5558-z	Umea University	Parasitology Research	Biomedicine	0932-0113	1432-1955	2017
10.1007/s00348-017-2396-9	Lund University	Experiments in Fluids	Engineering	0723-4864	1432-1114	2017
10.1007/s11166-017-9261-3	Stockholm School of Economics	Journal of Risk and Uncertainty	Economics	0895-5646	1573-0476	2017
10.1007/s11266-017-9906-5	Umea University	VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations	Social Sciences	0957-8765	1573-7888	2017
10.1007/s10886-017-0876-2	Swedish University of Agricultural Sciences	Journal of Chemical Ecology	Life Sciences	0098-0331	1573-1561	2017
10.1007/s10618-017-0538-6	Halmstad University	Data Mining and Knowledge Discovery	Computer Science	1384-5810	1573-756X	2017
10.1007/s10614-017-9725-1	Jönköping University	Computational Economics	Economics	0927-7099	1572-9974	2017
10.1007/s10437-017-9264-0	Uppsala University	African Archaeological Review	Social Sciences	0263-0338	1572-9842	2017
10.1007/s00540-017-2403-6	Karolinska Institute	Journal of Anesthesia	Medicine & Public Health	0913-8668	1438-8359	2017
10.1007/s10706-017-0351-4	Royal Institute of Technology	Geotechnical and Geological Engineering	Earth Sciences	0960-3182	1573-1529	2017
10.1007/s13770-017-0071-0	Umea University	Tissue Engineering and Regenerative Medicine	Life Sciences	1738-2696	2212-5469	2017
10.1007/s10973-017-6611-y	Jönköping University	Journal of Thermal Analysis and Calorimetry	Chemistry	1388-6150	1588-2926	2017
10.1007/s11192-017-2479-7	Lund University	Scientometrics	Computer Science	0138-9130	1588-2861	2017
10.1007/s10494-017-9833-y	Chalmers University of Technology	"Flow, Turbulence and Combustion"	Engineering	1386-6184	1573-1987	2017
10.1007/s00586-017-5264-7	University of Gothenburg	European Spine Journal	Medicine & Public Health	0940-6719	1432-0932	2017
10.1007/s00586-017-5248-7	Karolinska Institute	European Spine Journal	Medicine & Public Health	0940-6719	1432-0932	2017
10.1007/s12551-017-0289-z	Lund University	Biophysical Reviews	Life Sciences	1867-2450	1867-2469	2017
10.1007/s40194-017-0508-z	Chalmers University of Technology	Welding in the World	Materials Science	0043-2288	1878-6669	2017
10.1007/s00226-017-0944-3	University of Boras	Wood Science and Technology	Life Sciences	0043-7719	1432-5225	2017
10.1007/s00362-017-0937-1	Swedish University of Agricultural Sciences	Statistical Papers	Statistics	0932-5026	1613-9798	2017
10.1007/s00468-017-1603-x	Linnaeus University	Trees	Life Sciences	0931-1890	1432-2285	2017
10.1007/s12010-017-2577-2	Lund University	Applied Biochemistry and Biotechnology	Chemistry	0273-2289	1559-0291	2017
10.1007/s11663-017-1057-y	Royal Institute of Technology	Metallurgical and Materials Transactions B	Materials Science	1073-5615	1543-1916	2017
10.1007/s40806-017-0112-x	Stockholm University	Evolutionary Psychological Science	Psychology		2198-9885	2017
10.1007/s11270-017-3477-3	Royal Institute of Technology	"Water, Air, & Soil Pollution"	Environment	0049-6979	1573-2932	2017
10.1007/s00013-017-1063-y	Lulea University of Technology	Archiv der Mathematik	Mathematics	0003-889X	1420-8938	2017
10.1007/s13347-017-0274-2	Lund University	Philosophy & Technology	Philosophy	2210-5433	2210-5441	2017
10.1007/s10798-017-9423-2	Royal Institute of Technology	International Journal of Technology and Design Education	Education	0957-7572	1573-1804	2017
10.1007/s10494-017-9845-7	Royal Institute of Technology	"Flow, Turbulence and Combustion"	Engineering	1386-6184	1573-1987	2017
10.1007/s00205-017-1161-9	Royal Institute of Technology	Archive for Rational Mechanics and Analysis	Physics	0003-9527	1432-0673	2017
10.1007/s00779-017-1072-7	Halmstad University	Personal and Ubiquitous Computing	Computer Science	1617-4909	1617-4917	2017
10.1007/s10111-017-0428-0	Swedish Defence Research Agency	"Cognition, Technology & Work"	Computer Science	1435-5558	1435-5566	2017
10.1007/s10589-017-9940-7	Royal Institute of Technology	Computational Optimization and Applications	Mathematics	0926-6003	1573-2894	2017
10.1007/s10955-017-1847-2	Mälardalen University	Journal of Statistical Physics	Physics	0022-4715	1572-9613	2017
10.1007/s10549-017-4416-0	Lund University	Breast Cancer Research and Treatment	Medicine & Public Health	0167-6806	1573-7217	2017
10.1007/s40615-017-0408-3	Mid Sweden University	Journal of Racial and Ethnic Health Disparities	Medicine & Public Health	2197-3792	2196-8837	2017
